stationName,start_station_id,lat,lon,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
 Penn Treaty Park                                            ,3105,39.966518,-75.129959,7,1,2,2,1,,10,18,41,35,39,30,34,30,34,31,34,59,40,33,27,24,20,4
 33rd & Dauphin                                              ,3106,39.991791,-75.186371,7,4,,,1,1,6,11,17,10,24,41,32,34,42,37,50,57,66,38,32,26,25,16
 33rd & Reservoir                                            ,3107,39.982029,-75.18866,5,4,1,2,1,2,,14,41,25,21,24,26,24,39,19,35,22,20,23,20,14,12,3
 15th & Market                                               ,3108,39.953159,-75.165512,41,59,33,17,9,5,36,28,76,80,104,172,185,183,211,302,463,699,437,249,248,122,95,66
 Parkside & Girard                                           ,3109,39.974861,-75.205238,3,4,3,1,,3,12,51,17,15,20,27,35,28,35,19,30,35,14,20,11,18,15,13
 Del. River Trail & Penn St.                                 ,3110,39.96175,-75.136414,15,15,13,5,7,4,26,27,49,51,56,52,50,49,77,134,90,74,81,80,78,51,39,15
" Parkside & Belmont, Case Buildling                          ",3111,39.978039,-75.212196,1,1,,,4,10,15,5,40,22,19,26,22,27,33,26,15,43,19,29,8,10,1,11
 48th & Spruce                                               ,3112,39.953732,-75.218246,12,4,,3,,17,71,137,297,69,61,69,73,56,53,52,54,72,66,47,46,34,28,11
 Philadelphia Zoo                                            ,3113,39.974689,-75.195618,1,,1,,,,1,5,2,9,22,24,48,38,44,51,87,47,15,8,12,13,8,
 22nd & Federal                                              ,3114,39.937752,-75.180122,9,4,2,3,9,101,21,145,179,134,91,74,60,59,50,61,71,70,68,68,26,20,21,11
" 19th & Girard, PTTI                                         ",3115,39.97263,-75.167572,7,1,6,,9,21,89,48,101,73,112,57,51,49,40,57,61,69,41,50,50,48,12,4
 ParkWest Town Center                                        ,3117,39.978409,-75.223991,,,2,,3,,,6,5,7,3,8,9,7,9,1,4,3,3,5,5,4,2,12
" 46th Street Station, MFL                                    ",3118,39.95866,-75.213226,5,2,4,3,1,2,5,15,50,36,38,33,30,51,34,31,38,74,49,43,46,31,22,14
 42nd & Lancaster                                            ,3119,39.96674,-75.207993,1,,1,,4,1,5,10,21,28,15,24,41,22,29,21,33,28,24,15,23,21,18,7
 31st & Girard                                               ,3120,39.97522,-75.186691,4,4,2,2,4,21,11,99,145,133,118,66,62,59,70,61,77,94,106,93,71,40,28,12
 26th & Poplar                                               ,3121,39.97274,-75.17939,7,7,1,3,11,19,81,170,345,129,99,82,84,72,52,64,75,114,136,92,68,38,23,6
" 24th & Cecil B. Moore, Cecil B. Moore Library               ",3122,39.980621,-75.1735,6,2,4,2,,,1,3,9,2,7,12,21,13,15,11,20,23,26,10,13,16,15,3
 22nd & Cecil B. Moore                                       ,3123,39.980042,-75.170883,3,2,3,1,2,1,,6,12,14,16,20,21,26,23,35,35,33,23,20,22,11,14,3
 Race Street Pier                                            ,3124,39.95295,-75.139793,53,25,50,2,1,7,22,77,84,63,135,68,67,63,75,94,82,100,146,187,100,100,107,64
 15th & South                                                ,3125,39.943909,-75.167351,72,44,42,7,17,69,74,156,259,183,140,155,131,145,123,124,167,218,225,215,162,114,130,86
" The Children's Hospital of Philadelphia, East Service Drive ",3129,39.946812,-75.193108,7,3,1,,,,6,9,7,16,13,16,29,44,32,71,193,411,220,160,66,39,20,17
